red,0,
red,0,
red,0,
red,0,
red,0,
red,0,
red,0,
red,5.99876,
red,6.17982,
red,6.11946,
red,6.11946,
red,6.00356,
red,6.75183,
red,6.75183,
red,6.75183,
red,6.984,
red,7.88603,
red,7.60726,
red,7.60726,
red,7.42854,
red,7.28556,
red,7.36368,
red,7.36368,
red,7.85823,
red,7.8406,
red,8.23044,
red,7.74769,
red,7.77252,
red,7.66818,
red,8.03483,
red,7.90962,
red,7.92138,
red,8.17742,
red,8.17594,
red,8.06637,
red,8.04816,
red,8.25816,
red,8.4893,
red,8.45745,
red,8.35739,
red,8.29735,
red,8.2328,
red,8.21333,
red,8.37223,
red,8.37223,
red,8.31128,
red,8.35345,
red,8.33275,
red,8.47068,
red,8.62736,
red,8.65677,
red,8.65677,
red,8.5979,
red,8.54836,
red,8.47781,
red,8.41062,
red,8.36889,
red,8.32906,
red,8.36052,
red,8.20028,
red,8.16658,
red,8.19946,
red,8.18782,
red,8.18782,
red,8.15639,
red,8.12619,
red,8.2443,
red,8.27261,
red,8.27261,
red,8.36568,
red,8.33387,
red,8.33049,
red,8.33049,
red,8.35531,
red,8.22831,
red,8.20099,
red,8.08079,
red,8.08184,
red,8.08184,
red,8.08184,
red,8.18162,
red,8.20643,
red,8.23047,
red,8.20171,
red,8.29362,
red,8.2837,
red,8.30519,
red,8.29539,
red,8.38071,
red,8.35226,
red,8.31958,
red,8.21916,
red,8.1975,
red,8.27844,
red,8.25657,
red,8.23195,
red,8.30933,
red,8.37248,
red,8.44618,
red,8.44246,
